,ID ,Group,Topic,Descripton,URL
0,1.0,Family and Friends,Sharing diagnosis,(I think this website is gone) How to talk to friends and family about diagnosis ,https://alzheimerscaregivers.org/2022/10/18/talking-to-family-and-friends-about-your-loved-ones-alzheimers-disease-diagnosis/
1,2.0,Family and Friends,Helping family and friends understand diagnosis,"This article offers guidance on how to talk to family and friends about a loved one’s Alzheimer’s diagnosis and help them feel comfortable interacting with the person. It also provides tips for supporting children, encouraging honest conversations, age-appropriate explanations, and emotional reassurance.","https://www.nia.nih.gov/health/alzheimers-and-relationships/helping-family-and-friends-understand-alzheimers-disease#:~:text=Realize%20that%20family%20and%20friends,them%20know%20you%20need%20breaks."
3,4.0,Long term plans ,Planning for care costs ,"Putting financial plans in place- costs, documents, goals, resources",https://www.alz.org/help-support/caregiving/financial-legal-planning/planning-for-care-costs
4,5.0,Long term plans ,Paying for care,FInancial resources that may be available ,https://www.alz.org/help-support/caregiving/financial-legal-planning/paying-for-care
5,6.0,Long term plans ,Legal Documents,"DPOA paperwork, wishes of the patient ",https://www.alz.org/help-support/caregiving/financial-legal-planning/legal-documents
6,7.0,Long term plans ,Planning ahead for legal documents ,"How to meet with a lawyer, prepare documents, etc. ",https://www.alz.org/help-support/caregiving/financial-legal-planning/planning-ahead-for-legal-matters
7,8.0,Long term plans ,Medicare,Information on if the pateint is a Medicare beneficiary ,https://www.alz.org/help-support/caregiving/financial-legal-planning/medicare
8,9.0,Long term plans ,Tax deductions and credits ,Caregivers may be eligible for tax credits ,https://www.alz.org/help-support/caregiving/financial-legal-planning/tax-deductions-credits
10,,Your Health ,How to be a healthy caregiver ,Caregiver tips for maintaining their health- basic ,https://www.alz.org/help-support/caregiving/caregiver-health/be_a_healthy_caregiver
12,,Stress,Caregiver stress,Signs and tips for dealing with stress,https://www.alz.org/help-support/caregiving/caregiver-health/caregiver-stress
13,,Stress,Relationship changes,How to prepare and deal with changing roles,https://www.alz.org/help-support/caregiving/caregiver-health/relationship-changes
15,,Tips ,"""Early stage"" tips ",Beginning diagnosis tips ,https://www.alz.org/help-support/caregiving/stages-behaviors/early-stage
16,,Tips ,"""Middle stage"" tips ",,https://www.alz.org/help-support/caregiving/stages-behaviors/middle-stage
17,,Tips ,"""Late state"" tips","Disease progeresion, usually requiring around the clock care",https://www.alz.org/help-support/caregiving/stages-behaviors/late-stage
