,ID ,Group,Topic,Description,URL
0,1.0,Family and Friends,Sharing diagnosis,(I think this website is gone) How to talk to friends and family about diagnosis ,https://alzheimerscaregivers.org/2022/10/18/talking-to-family-and-friends-about-your-loved-ones-alzheimers-disease-diagnosis/
1,2.0,Family and Friends,Helping family and friends understand diagnosis,"Content includes:
– How to share an Alzheimer’s diagnosis with family and friends
– Tips to help others feel comfortable around someone with Alzheimer’s
– Ways to explain the disease to children and teens
– Suggestions for meaningful activities with loved ones
– Encouragement to seek support and use available resources","https://www.nia.nih.gov/health/alzheimers-and-relationships/helping-family-and-friends-understand-alzheimers-disease#:~:text=Realize%20that%20family%20and%20friends,them%20know%20you%20need%20breaks."
2,3.0,Long term plans ,"Planning for care costs and putting financial plans in place- costs, documents, goals, resources ","Content includes:
– Common costs associated with Alzheimer’s care
– Important financial and legal documents to gather
– How to assess care needs and financial goals
– Exploring insurance, government benefits, and community resources
– Guidance on getting help from qualified financial and legal professionals
– Tips for early planning and organizing financial matters after diagnosis",https://www.alz.org/help-support/caregiving/financial-legal-planning/planning-for-care-costs
3,4.0,Long term plans ,Paying for care and financial resources that may be available,"– Financial resources to help cover Alzheimer’s care costs
– Insurance options, including Medicare and private plans
– Employee and retirement benefits that may provide support
– Using personal savings, investments, and property for care expenses
– Government assistance programs like SSDI, Medicaid, and VA benefits
– Community support services offering low-cost or free care options
– Where to find additional help and benefits guidance",https://www.alz.org/help-support/caregiving/financial-legal-planning/paying-for-care
4,5.0,Long term plans ,"Legal Documents, DPOA paperwork, wishes of the patient","Content includes:
– Importance of legal documents to honor a person’s wishes as dementia progresses
– Power of attorney for finances and health care decisions
– Living wills and standard wills for end-of-life and estate planning
– Living trusts for managing assets and possibly avoiding probate
– Guardianship and conservatorship when no other planning is in place
– Portable medical orders (POLST) for specific medical care preferences
– Tips for choosing agents, sharing documents, and finding legal help",https://www.alz.org/help-support/caregiving/financial-legal-planning/legal-documents
5,6.0,Long term plans ,Planning ahead for legal documents and a meeting with a lawyer,"Content includes:
– Importance of early legal planning after a dementia diagnosis
– Legal capacity and involving the person with dementia in decisions
– Key documents to prepare, review, and update
– What to discuss and bring when meeting with an elder law attorney
– Tips for naming decision-makers and sharing legal documents
– Resources to help find elder law attorneys and legal aid services",https://www.alz.org/help-support/caregiving/financial-legal-planning/planning-ahead-for-legal-matters
6,7.0,Long term plans ,Information on Alzheimers and Medicare,"Content includes:
– Overview of Medicare coverage for people with Alzheimer’s and other dementias
– What Medicare Parts A, B, and D cover, including hospital care, doctor visits, and prescriptions
– Coverage for cognitive assessments, care planning, and the Annual Wellness Visit
– Information on Medicare Advantage plans, Medigap, and Special Needs Plans (SNPs)
– Costs and enrollment tips, including premiums, deductibles, and how to avoid penalties
– Where to get help comparing plans and accessing Medicare resources and assistance",https://www.alz.org/help-support/caregiving/financial-legal-planning/medicare
7,8.0,Long term plans ,Tax deductions and credits available to caregivers ,"Content includes:
– Tax deductions for out-of-pocket medical expenses related to dementia care
– Eligibility and rules for the Child and Dependent Care Credit
– Caregiver-specific tax credits and deductions offered by some states
– Tax benefits for purchasing qualified long-term care insurance
– Tips on navigating IRS rules and seeking guidance from tax professionals",https://www.alz.org/help-support/caregiving/financial-legal-planning/tax-deductions-credits
8,9.0,Your Health ,How to be a healthy caregiver ,"Content includes:
– Importance of caregivers maintaining their own physical and emotional health
– Encouragement to see a doctor regularly and monitor stress and fatigue
– Tips for fitting in exercise, even in short sessions or with the person with dementia
– Heart-healthy eating suggestions to support overall well-being
– Five key coping strategies, including stress management and taking breaks
– Support resources for caregivers, including online communities and respite care options",https://www.alz.org/help-support/caregiving/caregiver-health/be_a_healthy_caregiver
9,10.0,Stress,"Caregiver stress, signs and tips for dealing with stress","Content includes:
– Common symptoms of caregiver stress and burnout
– Tips for managing stress through support, resources, and self-care
– Relaxation techniques like breathing, meditation, and visualization
– Encouragement to stay physically active and take breaks with respite care
– The value of caregiver education, planning ahead, and maintaining humor
– Guidance on when to seek help from professionals or local support networks",https://www.alz.org/help-support/caregiving/caregiver-health/caregiver-stress
10,11.0,Stress,Relationship changes and prep for changing roles ,"Content includes:
– How Alzheimer’s can shift roles in a relationship, especially for spouses or partners
– Coping with changes in emotional and physical intimacy
– Practical tips for managing new responsibilities like finances and decision-making
– Dealing with social isolation and maintaining connections with family and friends
– Encouragement to seek support and communicate openly with your network",https://www.alz.org/help-support/caregiving/caregiver-health/relationship-changes
11,12.0,Tips ,"""Early stage"" caregiving tips ","Content includes:
– Understanding the care partner’s role in the early stage of Alzheimer’s
– Tips for supporting independence while offering appropriate help
– Coping with emotional changes for both the care partner and the person with dementia
– Encouraging health and wellness through routine, diet, and activity
– Importance of self-care, building a support network, and asking for help
– Empowering both caregiver and person with dementia through education and planning
– Guidance on living alone with early-stage dementia and staying connected with support",https://www.alz.org/help-support/caregiving/stages-behaviors/early-stage
